timestamp,cur_x,cur_y,cur_z,cur_vx,cur_vy,cur_vz,cur_ax,cur_ay,cur_az,not_use,not_use,cur_yaw,des_yaw,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_acc_x,des_acc_y,des_acc_z
1719805498517795105,0,0,0,0,0,0,0,0,-7.06943e-07,0,0,0,0,-40,0,2,0,0,0,0,0,0
1719805519311247781,-40,-9.38667e-10,2,3.73061e-09,5.53587e-10,2.07415e-09,-2.70093e-08,5.61453e-08,-1.35891e-07,0,0,-1.67552e-10,0,-39.858,0.128983,2.11415,0.786262,0.731486,0.594113,2.63913,2.59629,1.68965
1719805519804029690,-39.6514,0.324871,2.25377,1.3281,1.25863,0.817046,0.512364,0.545666,0.0369111,0,0,-0.000321624,0,-39.1476,0.81091,2.52506,2.02011,1.96156,0.880117,2.22301,2.18714,-0.347215
1719805520311893473,-38.6477,1.28312,2.67772,2.37752,2.31239,0.711715,-1.04928,-0.927996,-0.576405,0,0,-0.000723566,0,-37.9331,2.00703,2.85448,2.71872,2.71525,0.345244,0.782656,0.893567,-1.47059
1719805520807645879,-37.307,2.60463,2.8282,2.75575,2.78633,0.0647265,-2.28617,-2.08994,-0.0381719,0,0,-0.0274732,0,-36.5449,3.41299,2.85252,2.72322,2.79297,-0.313911,-0.559107,-0.493374,-1.01373
1719805521307125761,-35.9111,4.03359,2.63895,2.51003,2.60707,-0.41149,-2.80918,-2.6078,1.10692,0,0,-0.0569557,0,-35.2576,4.74197,2.59514,2.41431,2.50675,-0.651519,-0.69485,-0.686465,-0.255068
1719805521815744062,-34.6824,5.32311,2.31354,2.16198,2.27856,-0.531613,-2.54224,-2.59116,1.38599,0,0,-0.0511137,0,-34.1664,5.87443,2.28213,1.92554,1.96415,-0.521695,-1.01188,-1.39267,0.69065
1719805522310614529,-33.7146,6.31605,2.10319,1.60148,1.57673,-0.231153,-2.11972,-2.30003,0.867369,0,0,-0.0429738,0,-33.1746,6.6858,2.13157,2.25611,1.29649,-0.0536443,1.59873,-1.21503,1.02157
1719805522806766806,-32.6243,6.9618,2.06571,2.51858,0.984127,0.165644,-1.28724,-1.59189,0.8207,0,0,-0.0140498,0,-31.8487,7.19496,2.20966,3.00256,0.786388,0.325221,1.07959,-0.676163,0.531814
1719805523307381580,-31.1141,7.36212,2.21507,3.13152,0.617366,0.437551,-2.52839,-0.979608,0.373792,0,0,-0.0208183,0,-30.3241,7.65209,2.42802,2.91531,1.2574,0.518525,-1.09823,1.9361,0.180291
1719805523809467547,-29.6287,7.97123,2.46432,2.54466,1.64076,0.568107,-3.37138,-0.294099,0.0172629,0,0,-0.00603254,0,-28.9829,8.5551,2.67667,2.49528,2.3546,0.428671,-0.554034,1.96856,-0.395005
1719805524308799159,-28.4075,9.12278,2.6598,2.23167,2.68165,0.375925,-2.4371,-1.38145,0.1824,0,0,-0.021621,0,-27.6972,9.91416,2.85936,2.79882,2.95587,0.330336,1.28025,0.461348,-0.0532855
1719805524811966081,-27.0821,10.5872,2.80766,2.93751,2.92589,0.365775,-1.77534,-2.57075,0.446706,0,0,-0.0231526,0,-26.1882,11.4467,3.00661,3.13424,3.15314,0.238018,0.0483901,0.215331,-0.301836
1719805525306978246,-25.5029,12.1417,2.91191,3.06808,3.0626,0.258242,-2.93268,-2.56628,0.661455,0,0,-0.0492907,0,-24.6535,13.0801,3.05414,2.92727,3.40694,-0.0827696,-0.869393,0.546939,-0.735464
1719805525806999448,-24.0113,13.8411,2.87361,2.64839,3.40151,-0.0920424,-3.14445,-2.80597,0.85927,0,0,-0.0614058,0,-23.268,14.8076,2.92906,2.67199,3.41674,-0.386964,-0.189143,-0.489561,-0.376207
1719805526302908425,-22.7049,15.523,2.68399,2.58005,3.2528,-0.328495,-2.3193,-2.97207,1.44212,0,0,-0.0450472,0,-21.906,16.4227,2.71058,2.85053,2.99416,-0.448642,0.714842,-1.08703,0.0838751
1719805526808057815,-21.2068,17.1081,2.45117,2.88732,2.62178,-0.263914,-2.51961,-3.1415,1.43601,0,0,-0.0497869,0,-20.3479,17.7675,2.49749,3.4196,2.36146,-0.39137,1.18772,-1.37431,0.224688
1719805527308131870,-19.5239,18.2908,2.26598,3.49414,1.95321,-0.194351,-2.68589,-2.64505,1.30838,0,0,-0.0445281,0,-18.5337,18.7742,2.32716,3.74524,1.6787,-0.286572,0.0888842,-1.22562,0.259816
1719805527804329217,-17.7077,19.1112,2.13144,3.66804,1.38289,-0.121827,-3.1811,-1.91326,1.32776,0,0,-0.0432735,0,-16.75,19.5066,2.21935,3.23133,1.32531,-0.138732,-1.82336,-0.327373,0.330291
1719805528304211744,-16.0472,19.7846,2.09903,2.75003,1.23958,0.0585378,-3.67978,-1.20516,0.62958,0,0,-0.0430871,0,-15.3409,20.1291,2.14301,2.44979,1.17587,-0.226197,-1.28635,-0.199333,-0.40064
1719805528824574390,-14.7645,20.4231,2.00964,2.04258,1.08775,-0.196953,-2.74138,-1.28705,0.491433,0,0,-0.0342318,0,-14.2383,20.7056,1.98372,2.00237,1.15071,-0.376851,-0.765741,0.0506598,-0.0108854
1719805529323454865,-13.7942,20.9888,1.83788,1.74495,1.09296,-0.298525,-1.79456,-0.886894,0.760519,0,0,-0.0164756,0,-13.328,21.4525,1.85089,1.65901,2.06279,-0.0681859,-0.533939,2.7987,1.03258
1719805529811299177,-12.9738,21.9147,1.77879,1.49357,2.5593,0.133794,-1.61239,-0.202018,0.864664,0,0,0.00309972,0,-12.5178,22.7903,1.93152,1.67418,3.17749,0.35341,0.569269,1.48601,0.591536
1719805530314452821,-12.1405,23.5036,1.93324,1.74594,3.4283,0.47111,-1.31563,-2.41942,0.441601,0,0,-0.0170207,0,-11.6094,24.4437,2.12779,1.95916,3.23351,0.349261,0.56263,-0.957319,-0.406303
1719805530813405416,-11.1347,25.1674,2.0888,2.02754,2.9246,0.312564,-1.70367,-3.36288,0.375213,0,0,-0.0429595,0,-10.6079,25.8677,2.22679,1.97244,2.35856,0.0263273,-0.338945,-2.21729,-0.666126
1719805531311016428,-10.1215,26.3777,2.13336,1.80953,1.78751,0.0109163,-2.0438,-3.04777,0.167488,0,0,-0.0576579,0,-9.71398,26.9041,2.14034,1.53578,1.9917,-0.371464,-1.16118,0.259002,-0.677348
1719805531809464871,-9.34601,27.3692,1.94093,1.18497,1.99347,-0.416444,-1.90407,-1.40721,0.935069,0,0,-0.030527,0,-9.0449,28.0299,1.90417,1.24151,2.63806,-0.502799,0.0391465,1.80149,0.162739
1719805532309674730,-8.74749,28.6575,1.68916,1.16386,2.91947,-0.363217,-1.04685,-1.61534,1.17054,0,0,-0.00904492,0,-8.33972,29.5562,1.71036,1.70431,3.39266,-0.220648,1.5478,0.927498,0.793438
1719805532810763314,-7.9475,30.3101,1.56842,1.945,3.45699,0.0013975,-0.77951,-2.6136,1.12025,0,0,-0.00435667,0,-7.26453,31.3074,1.69345,2.62023,3.49607,0.137404,1.84719,-0.461358,0.608445
1719805533309659380,-6.66171,32.0593,1.61217,2.92057,3.28394,0.300073,-1.68607,-3.31046,0.890743,0,0,-0.0265113,0,-5.78671,32.9737,1.81657,3.15722,3.12818,0.325028,0.252715,-0.957864,0.241142
1719805533815773106,-5.04628,33.6468,1.75663,3.12291,2.82979,0.439407,-3.07651,-3.13597,0.693656,0,0,-0.0679024,0,-4.19114,34.4424,1.98492,3.18274,2.7769,0.312648,-0.246646,-0.586659,-0.192284
1719805534314925570,-3.44952,35.0454,1.89885,2.98981,2.56474,0.362093,-3.01749,-2.56422,0.664736,0,0,-0.0596338,0,-2.68172,35.7508,2.0903,2.77922,2.43757,0.0821501,-1.1661,-0.810263,-0.526977
1719805534816984358,-2.04259,36.2984,1.96738,2.40431,2.19778,0.12149,-3.00389,-2.55657,0.453518,0,0,-0.0690797,0,-1.41209,36.7926,2.0682,2.34438,1.62394,-0.151068,-0.624893,-2.09421,-0.302552
