timestamp,cur_x,cur_y,cur_z,cur_vx,cur_vy,cur_vz,cur_ax,cur_ay,cur_az,not_use,not_use,cur_yaw,des_yaw,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_acc_x,des_acc_y,des_acc_z
1719655848124900763,-2.99002,1.52098,0.133864,-5.38397,2.71475,0.267778,-4.50863,2.24526,0.25087,0,0,0.12415,0,0,0,2,0,0,0,0,0,0
1719655873371635831,1.243e-10,-1.12094e-09,2,1.87872e-09,-2.38959e-09,4.20494e-11,-2.42537e-08,-3.11677e-08,-9.53101e-08,0,0,3.7393e-11,-0.000205445,2.99618e-06,2.48705e-07,2,0.000448579,3.72507e-05,3.33819e-05,0.0446915,0.0036812,0.00331638
1719655873391706518,3.24e-09,-9.1756e-10,2,1.01291e-06,8.08099e-08,1.00377e-05,0.000263278,2.17062e-05,0.00124656,0,0,-6.26698e-07,-0.000799896,2.38358e-05,1.96222e-06,2,0.00178105,0.000145496,0.000131798,0.0883909,0.00709991,0.00650382
1719655873411730887,1.94673e-07,1.47963e-08,2,2.73062e-05,2.24413e-06,5.6098e-05,0.00309283,0.000253906,0.00351314,0,0,-8.58415e-06,-0.00175147,7.99991e-05,6.50708e-06,2.00001,0.00397767,0.000319523,0.000292685,0.131108,0.0102599,0.00956384
1719655873431688547,1.83487e-06,1.49195e-07,2,0.000167034,1.36579e-05,0.000153781,0.0122612,0.000998068,0.00635994,0,0,-4.46286e-05,-0.00300532,0.000188232,1.50944e-05,2.00001,0.00696793,0.000546284,0.000515637,0.167792,0.012383,0.0127095
1719655873451702246,8.71107e-06,7.0904e-07,2.00001,0.000583863,4.73898e-05,0.000312773,0.031287,0.00251937,0.00963395,0,0,-0.000146056,-0.00451127,0.000363557,2.86283e-05,2.00003,0.0106843,0.000813523,0.000800199,0.203723,0.0143081,0.0157251
1719655873471757946,2.84977e-05,2.30629e-06,2.00002,0.00149742,0.000120342,0.000540358,0.0620798,0.00492051,0.0131967,0,0,-0.000362452,-0.0062461,0.000620346,4.78789e-05,2.00005,0.0151119,0.00111731,0.00114379,0.238908,0.0160383,0.0186123
1719655873491639057,7.3506e-05,5.89831e-06,2.00003,0.0031448,0.000249507,0.000840953,0.104472,0.00811092,0.0169115,0,0,-0.000747804,-0.00814589,0.000972475,7.35033e-05,2.00007,0.020206,0.00144853,0.0015369,0.270398,0.01706,0.0206821
1719655873511613458,0.000160624,1.27529e-05,2.00005,0.00574035,0.000448405,0.00121395,0.156422,0.0118409,0.0203569,0,0,-0.0013521,-0.0101528,0.00143274,0.000105947,2.00011,0.0259237,0.00179877,0.00197041,0.301275,0.0179408,0.0226525
1719655873531812576,0.000310515,2.43497e-05,2.00008,0.0094425,0.00072432,0.00165209,0.214477,0.0157465,0.0234207,0,0,-0.00221344,-0.0122287,0.0020134,0.000145521,2.00015,0.0322386,0.00215907,0.00243668,0.33012,0.0180743,0.0239613
1719655873551737011,0.000546264,4.22377e-05,2.00012,0.0143329,0.00107677,0.00214567,0.274552,0.0194292,0.0258574,0,0,-0.00335208,-0.014339,0.00272609,0.000192322,2.00021,0.0391248,0.00252114,0.00292832,0.358418,0.018117,0.025189
1719655873571848651,0.000891769,6.78775e-05,2.00016,0.0204117,0.00149754,0.00268205,0.33272,0.0225224,0.0277271,0,0,-0.00476771,-0.0164762,0.00358213,0.000246366,2.00027,0.0465717,0.00288316,0.00344371,0.386173,0.0180699,0.0263366
1719655873591672504,0.00137019,0.000102498,2.00022,0.027608,0.00197193,0.00325154,0.385878,0.0247603,0.0292016,0,0,-0.0064402,-0.018615,0.00459254,0.000307535,2.00034,0.0545558,0.00322827,0.00396691,0.412158,0.0164426,0.0259767
1719655873611556341,0.00200274,0.000146989,2.00029,0.0358005,0.00248139,0.00384358,0.432143,0.0260155,0.0299029,0,0,-0.00833356,-0.0207324,0.0057678,0.00037528,2.00043,0.0630546,0.00354089,0.00448251,0.43764,0.0148194,0.0255776
1719655873631675831,0.00280788,0.000201852,2.00038,0.0448437,0.00300571,0.0044437,0.47096,0.026246,0.0300701,0,0,-0.0104011,-0.0228261,0.00711796,0.000448985,2.00052,0.0720382,0.00382567,0.00499088,0.460645,0.0136565,0.0252514
1719655873652677811,0.00380119,0.000267181,2.00047,0.0545931,0.00352461,0.0050444,0.502938,0.0254883,0.0299963,0,0,-0.012591,-0.024894,0.00865236,0.000528151,2.00063,0.0814775,0.00408702,0.00549228,0.483218,0.012475,0.024882
1719655873672036244,0.00499548,0.000342676,2.00058,0.0649246,0.00401957,0.0056421,0.529429,0.0238846,0.0298041,0,0,-0.0148507,-0.0269363,0.0103798,0.000612308,2.00074,0.0913236,0.00432475,0.00599616,0.501323,0.0112968,0.0255061
1719655873691667133,0.00640142,0.000427705,2.0007,0.0757452,0.00447586,0.00623836,0.552146,0.0216618,0.0298884,0,0,-0.0171323,-0.0289532,0.0123077,0.000700983,2.00087,0.101528,0.00453886,0.00651253,0.519034,0.0101137,0.0261304
1719655873711519039,0.00802815,0.000521386,2.00083,0.0869962,0.00488362,0.00683842,0.572721,0.0190749,0.0301619,0,0,-0.0193999,-0.0309424,0.0144432,0.000793704,2.001,0.112082,0.00472926,0.00704138,0.536354,0.00892526,0.0267549
1719655873731707058,0.00988394,0.000622693,2.00097,0.0986479,0.00523809,0.00744485,0.592369,0.0163717,0.0305098,0,0,-0.0216274,-0.0329064,0.0167933,0.00088988,2.00115,0.122988,0.00487863,0.00755604,0.554139,0.00602414,0.0247305
