timestamp,cur_x,cur_y,cur_z,cur_vx,cur_vy,cur_vz,cur_ax,cur_ay,cur_az,not_use,not_use,cur_yaw,des_yaw,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_acc_x,des_acc_y,des_acc_z
1719654770249782047,-24.6103,12.3513,1.25074,-12.2347,6.10807,0.628694,-1.57165,0.764517,0.0567873,0,0,0.123804,0,0,0,2,0,0,0,0,0,0
1719654823795454217,2.34067e-09,-7.07512e-10,2,-7.57201e-09,-2.58071e-09,-6.26447e-09,3.94595e-09,1.69398e-08,-2.13131e-07,0,0,-1.49356e-10,0.00942478,3.23598e-06,4.30779e-07,2,0.000484188,6.45291e-05,1.31045e-05,0.0482451,0.00641346,0.00130016
1719654823813110318,2.33454e-09,-7.35296e-10,2,8.18747e-08,1.0139e-08,-9.33072e-06,4.41466e-05,6.08194e-06,-0.00202526,0,0,4.581e-06,0.0816565,2.5733e-05,3.41977e-06,2,0.00192285,0.00025496,5.1558e-05,0.0954487,0.0125906,0.00253423
1719654823833105064,7.04207e-08,8.50622e-09,1.99999,1.18926e-05,1.61541e-06,-0.00125434,0.00165434,0.000225102,-0.203758,0,0,0.000238996,0.0819002,8.6375e-05,1.14373e-05,2,0.00429526,0.000566603,0.000114038,0.141621,0.0185352,0.00370298
1719654823853076975,8.77649e-07,1.1787e-07,1.99993,9.28166e-05,1.25064e-05,-0.00560131,0.00795326,0.00105509,-0.208321,0,0,0.00214841,0.0829635,0.000203269,2.6804e-05,2.00001,0.00752667,0.000986307,0.000199246,0.181387,0.0234049,0.00480783
1719654823873087455,4.8145e-06,6.37841e-07,1.99979,0.000368297,4.79474e-05,-0.00863056,0.0227575,0.00286691,-0.113297,0,0,0.00720372,0.0840294,0.000392691,5.15267e-05,2.00001,0.0115454,0.00150159,0.000305956,0.22035,0.0280937,0.00585335
1719654823893017194,1.83719e-05,2.36507e-06,1.9996,0.00108064,0.000135846,-0.0103473,0.050732,0.00619374,-0.0684488,0,0,0.0161688,0.088026,0.000670117,8.7439e-05,2.00002,0.0163191,0.0021026,0.000432742,0.256899,0.0319845,0.00681589
1719654823913139568,5.26784e-05,6.6294e-06,1.99938,0.00248853,0.000307601,-0.0116782,0.0922585,0.0113007,-0.0652835,0,0,0.0281641,0.092032,0.00105028,0.000136141,2.00003,0.0218164,0.00278008,0.000578219,0.292708,0.0357411,0.00772258
1719654823933029790,0.00012429,1.5478e-05,1.99913,0.00485137,0.000600659,-0.0130091,0.14581,0.0183162,-0.0637998,0,0,0.0419772,0.100564,0.00154736,0.00019917,2.00004,0.0280026,0.00353672,0.000737297,0.325798,0.0399,0.00817878
1719654823953116398,0.000254516,3.17074e-05,1.99886,0.00837927,0.00105115,-0.0141444,0.208174,0.0269653,-0.0414603,0,0,0.0562893,0.109112,0.00217475,0.000278155,2.00006,0.0348439,0.00437518,0.000905115,0.358226,0.043924,0.00859669
